,name_game_2weeks,playtime_2weeks_game_count,playtime_2weeks_game_max,playtime_2weeks_game_median,playtime_2weeks_game_mean,playtime_2weeks_game_min,appid_game_2weeks,playtime_2weeks_game,playtime_forever_game_2weeks,steam_appid_2weeks_game_,price_overview_2weeks_game_,genres_2weeks_game_,developers_2weeks_game_,publishers_2weeks_game_,categories_2weeks_game_,release_date_2weeks_game_,metacritic_2weeks_game_
48,AssettoCorsa,32,1296,183.0,366.96875,10,244210,167,7382,244210,19,"['Indie', 'Racing', 'Simulation', 'Sports']",['KunosSimulazioni'],['KunosSimulazioni'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'SteamAchievements', 'VRSupported', 'PartialControllerSupport', 'SteamLeaderboards', 'Includesleveleditor', 'FamilySharing']","Dec19,2014",85
49,TEKKEN8,31,2259,249.0,663.6129032258065,9,1778820,561,4172,1778820,69,['Action'],['BandaiNamcoStudiosInc.'],['BandaiNamcoEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'SteamCloud', 'FamilySharing']","Jan25,2024",91
50,SlaytheSpire,31,3667,221.0,590.741935483871,1,646570,2227,14329,646570,8,"['Indie', 'Strategy']",['MegaCrit'],['MegaCrit'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Jan23,2019",89
51,Stellaris,30,4296,876.0,1169.3666666666666,2,281990,2224,65011,281990,39,"['Simulation', 'Strategy']",['ParadoxDevelopmentStudio'],['ParadoxInteractive'],"['Single-player', 'Multi-player', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'FamilySharing']","May9,2016",78
52,RabbitandSteel,30,4217,790.5,1020.7,28,2132850,788,788,2132850,14,"['Action', 'Adventure', 'Indie', 'RPG']",['mino_dev'],['mino_dev'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'RemotePlayTogether', 'FamilySharing']","May9,2024",No score
53,HeartsofIronIV,30,6977,563.5,974.6333333333333,11,394360,436,4132,394360,9,"['Simulation', 'Strategy']",['ParadoxDevelopmentStudio'],['ParadoxInteractive'],"['Single-player', 'Multi-player', 'Co-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'RemotePlayonTablet', 'FamilySharing']","6Jun,2016",83
54,EuropaUniversalisIV,29,5232,758.0,1128.9655172413793,22,236850,2593,280072,236850,11,"['Simulation', 'Strategy']","['ParadoxDevelopmentStudio', 'ParadoxTinto']",['ParadoxInteractive'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'FamilySharing']","Aug13,2013",87
55,SidMeier'sCivilizationVI,29,2049,332.0,555.8620689655172,4,289070,1094,25701,289070,59,['Strategy'],"['FiraxisGames', 'Aspyr(Mac)', 'Aspyr(Linux)']","['2K', 'Aspyr(Mac)', 'Aspyr(Linux)']","['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'In-AppPurchases', 'SteamTurnNotifications', 'RemotePlayonTablet', 'RemotePlayTogether', 'FamilySharing']","Oct20,2016",88
56,tModLoader,29,2940,621.0,852.9310344827586,1,1281930,2409,5752,1281930,0,"['Action', 'Adventure', 'Indie', 'RPG', 'FreetoPlay']",['TMLTeam'],"['Re-Logic', 'TMLTeam']","['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamWorkshop', 'SteamCloud']","May16,2020",No score
57,Arma3,28,12319,560.0,1276.857142857143,1,107410,2450,2450,107410,29,"['Action', 'Simulation', 'Strategy']",['BohemiaInteractive'],['BohemiaInteractive'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'SteamAchievements', 'SteamTradingCards', 'Captionsavailable', 'SteamWorkshop', 'SteamLeaderboards', 'Includesleveleditor']","Sep12,2013",74
