,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date
469,AgeofEmpiresIII:DefinitiveEdition,6,8159.666666666667,4799.5,29519,0,11111.759944611234,1.3617909160436987,29519,0,"['FreetoPlay', 'Strategy']","[""World'sEdge"", 'TantalusMedia', 'ForgottenEmpires']",['XboxGameStudios'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud']","Oct15,2020"
475,AgeofEmpiresIV:AnniversaryEdition,9,12447.777777777777,12630.0,18542,6347,4810.1584115748665,0.3864270793910006,9062,39,['Strategy'],"['RelicEntertainment', 'ForgottenEmpires', 'ClimaxStudios', ""World'sEdge""]",['XboxGameStudios'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'FamilySharing']","Oct28,2021"
484,AgeofEmpiresOnline,1,11836.0,11836.0,11836,11836,,,11836,0,Unknown,Unknown,Unknown,Unknown,Unknown
485,AgeofEmpires®III(2007),7,15958.0,18051.0,23415,6153,6759.80872510458,0.4235999953067164,19742,39,"['Simulation', 'Strategy']",['EnsembleStudios'],['XboxGameStudios'],"['Single-player', 'Multi-player', 'SteamTradingCards', 'FamilySharing']","Jan5,2012"
492,AgeofHistoryII,1,3746.0,3746.0,3746,3746,,,3746,4,['Strategy'],['ŁukaszJakowski'],['ŁukaszJakowskiGames'],"['Single-player', 'Multi-player', 'PvP', 'Shared/SplitScreenPvP', 'SteamWorkshop', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayTogether', 'FamilySharing']","Nov21,2018"
493,AgeofMythology:ExtendedEdition,1,237.0,237.0,237,237,,,237,29,"['Simulation', 'Strategy']","['SkyBoxLabs', 'EnsembleStudios']",['XboxGameStudios'],"['Single-player', 'Multi-player', 'Co-op', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'Includesleveleditor', 'FamilySharing']","May8,2014"
494,AgeofWondersIII,4,20870.25,5408.0,72665,0,34904.24396712622,1.6724401464824914,10816,7,"['RPG', 'Strategy']",['TriumphStudios'],['ParadoxInteractive'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'Includesleveleditor', 'RemotePlayTogether', 'FamilySharing']","Mar31,2014"
498,Aimbeast,2,822.0,822.0,1644,0,1162.4835482706842,1.4142135623730951,0,7,['Action'],['FocusdIO'],['FocusdIO'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'SteamAchievements', 'SteamWorkshop', 'PartialControllerSupport', 'SteamLeaderboards', 'Includesleveleditor', 'FamilySharing']","May13,2020"
500,Aimlabs,55,1593.2727272727273,138.0,14219,0,2998.3378448149956,1.8818735759993697,67,0,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'FreetoPlay']","['StateSpaceLabs,Inc.']","['StateSpaceLabs,Inc.']","['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamWorkshop', 'Stats', 'SteamLeaderboards']","Jun16,2023"
555,Aimtastic,1,0.0,0.0,0,0,,,0,0,"['Action', 'FreetoPlay', 'Indie', 'EarlyAccess']",['VictorMöller'],['PixelPointerStudios'],"['Single-player', 'SteamWorkshop', 'Stats', 'SteamLeaderboards']","Jan28,2018"
