column1,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date,hours_per_dollar
14494,LittleNightmares,4,24191.5,1016,94734,0,47038.0859375,1.9444055557250977,0,19,['Adventure'],['TarsierStudios'],['BANDAINAMCOEntertainment'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonTV', 'FamilySharing']","Apr27,2017",0.018700787401574805
13886,ItTakesTwo,4,2207.5,2251,4328,0,2001.1466064453125,0.9065216779708862,4328,39,"['Action', 'Adventure']",['Hazelight'],['ElectronicArts'],"['Multi-player', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'RemotePlayTogether']","25Mar,2021",0.0173256330519769
24694,Wolcen:LordsofMayhem,5,2921.800048828125,2300,7389,0,3217.496826171875,1.1012036800384521,0,39,"['Action', 'Adventure', 'Indie', 'RPG']",['WOLCENStudio'],['WOLCENStudio'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'PartialControllerSupport', 'FamilySharing']","Feb13,2020",0.016956521739130436
13591,HogwartsLegacy,31,4048,3590,25160,0,4631.5068359375,1.1441469192504883,0,59,"['Action', 'Adventure', 'RPG']",['AvalancheSoftware'],['WarnerBros.Games'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'In-AppPurchases', 'SteamCloud', 'HDRavailable', 'FamilySharing']","Feb10,2023",0.016434540389972146
18146,ReadyorNot,4,6376.25,3216.5,18661,411,8395.9501953125,1.316753625869751,18661,49,"['Action', 'Adventure', 'Indie']",['VOIDInteractive'],['VOIDInteractive'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamCloud']","Dec13,2023",0.015233949945593036
12190,GolfIt!,13,2671.53857421875,526,22998,0,6338.89599609375,2.372751235961914,0,8,"['Casual', 'Indie', 'Simulation', 'Sports']",['PerfuseEntertainment'],['PerfuseEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'TrackedControllerSupport', 'VRSupported', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'Includesleveleditor', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayTogether', 'FamilySharing']","Aug18,2023",0.015209125475285171
2527,Broforce,3,1480.3333740234375,1005,3436,0,1766.629638671875,1.1933999061584473,0,14,"['Action', 'Adventure', 'Casual', 'Indie']",['FreeLives'],['DevolverDigital'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'Fullcontrollersupport', 'Includesleveleditor', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Oct15,2015",0.013930348258706468
1950,Battlefield™2042,17,7533.41162109375,4156,21018,588,6912.06103515625,0.9175206422805786,21018,57,"['Action', 'Adventure', 'Casual']",['DICE'],['ElectronicArts'],"['Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'In-AppPurchases', 'HDRavailable']","19Nov,2021",0.013715110683349374
18469,RiseoftheTombRaider,7,1625.4285888671875,2230,3903,0,1461.8760986328125,0.8993788361549377,2315,29,"['Action', 'Adventure']","['CrystalDynamics', 'Eidos-Montréal', 'FeralInteractive(Mac)', 'FeralInteractive(Linux)', 'Nixxes']","['CrystalDynamics', 'FeralInteractive(Mac)', 'FeralInteractive(Linux)']","['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'TrackedControllerSupport', 'VRSupported', 'SteamTradingCards', 'SteamCloud', 'SteamLeaderboards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Feb9,2016",0.013004484304932735
22621,TomClancy'sGhostRecon®Wildlands,15,6506.7998046875,3928,20504,0,5883.01025390625,0.904132604598999,8689,49,"['Action', 'Adventure']","['UbisoftParis', 'UbisoftAnnecy', 'UbisoftBucharest', 'UbisoftMontpellier', 'UbisoftMilan', 'Reflections', 'UbisoftBelgrade']",['Ubisoft'],"['Single-player', 'Multi-player', 'Co-op', 'SteamTradingCards', 'In-AppPurchases', 'PartialControllerSupport']","Mar6,2017",0.012474541751527495
